"Menu","Price","Kind"
"牛ヒレ","280","2"
"串カツ牛","150","1"
"串カツ豚","150","1"
"豚ヒレ","170","1"
"ポールウインナー","150","1"
"ハムカツ","150","1"
"豚しそ","170","1"
"カレー玉","170","1"
"紅生姜","150","1"
"なすび","120","1"
"山芋","150","1"
"玉ねぎ","100","0"
"しいたけ","150","1"
"アスパラ豚巻き","330","2"
"レンコン","100","0"
"トマト","150","1"
"にんにく","120","1"
"じゃがいも","120","1"
"アスパラ","240","1"
"大串エビ","330","2"
"サーモン","170","1"
"キス","240","1"
"ホタテ","240","1"
"エビ","240","1"
"はんぺん","150","1"
"たらこ","150","1"
"チーズ","240","1"
"うずら","150","1"
"もち","170","1"
"クッキー&クリーム","120","1"
"バナナ","120","1"
"定番5本盛り","740","2"
"定番8本盛り","1280","2"
"梅きゅうり","430","3"
"冷やしピーマン","260","3"
"枝豆","320","3"
"落花生塩ゆで","320","3"
"冷奴","260","3"
"ピリ辛冷奴","320","3"
"キムチ","260","3"
"冷やしトマト","290","3"
"ガリトマト","390","3"
"あじたま","320","3"
"ポテトサラダ","490","3"
"鶏もものから揚げ","490","3"
"牛生ハムユッケ","650","3"
"牛タンねぎ塩焼き","650","3"
"にんにく丸揚げ","320","3"
"ポテトフライ","430","3"
"田中のしょうが焼き","540","3"
"さいぼし","650","3"
"牛すじ土手","490","3"
"チー平焼き","490","3"
"ホルモン炒め","690","3"
"たこやき20個セット","650","3"
"たこやき9個セット","430","3"
"かすうどん","710","3"
"辛うどん","790","3"
"肉すい","540","3"
"ちりとり鍋(大)","2580","3"
"ちりとり鍋(小)","1290","3"
"中華そば","710","3"
"あじたま中華そば","820","3"
"ピリ辛焼うどん","540","3"
"やきそば","540","3"
"ジムビームハイボール","399","4"
"角ハイボール","450","4"
"各サワー","450","4"
"各カクテル","450","4"
"ワイン","450","4"
"ビール(大)","610","5"
"ビール(中)","450","4"
